,meshcode,linkno,lanesu,planesu,mlanesu,fukuin,geometry
0,513243,9,1,0,0,-1,
1,513243,10,1,0,0,-1,
2,513243,11,1,0,0,700,
3,513243,12,1,0,0,-1,
4,513243,13,1,0,0,665,
5,513243,14,1,0,0,670,
6,513243,15,1,0,0,-1,
7,513243,16,1,0,0,697,
8,513243,17,1,0,0,-1,
9,513243,18,1,0,0,-1,
10,513243,19,1,0,0,700,
11,513243,20,1,0,0,700,
12,513243,21,1,0,0,-1,
13,513243,22,1,0,0,537,
14,513243,23,1,0,0,488,
15,513243,24,1,0,0,700,
16,513243,25,1,0,0,-1,
17,513243,26,1,0,0,-1,
18,513243,27,1,0,0,612,
19,513243,28,1,0,0,637,
20,513243,29,1,0,0,700,
21,513243,30,1,0,0,700,
22,513243,31,5,5,0,0,
23,513243,32,3,3,0,0,
24,513243,33,3,2,1,0,
25,513243,34,2,2,0,0,
26,513243,35,2,2,0,0,
27,513243,36,2,2,0,0,
28,513243,37,2,1,1,0,
29,513243,38,2,1,1,0,
30,513243,39,2,2,0,0,
31,513243,40,2,2,0,0,
32,513243,41,3,3,0,0,
33,513243,42,3,3,0,0,
34,513243,43,2,2,0,0,
35,513243,44,2,2,0,0,
36,513243,45,3,3,0,0,
37,513243,46,4,4,0,0,
38,513243,47,2,1,1,0,
39,513243,48,2,1,1,0,
40,513243,49,2,1,1,0,
41,513243,50,2,1,1,0,
42,513243,51,3,1,2,0,
43,513243,52,2,2,0,0,
44,513243,53,2,2,0,0,
45,513243,54,2,2,0,0,
46,513243,55,2,2,0,0,
47,513243,56,2,2,0,0,
48,513243,57,2,2,0,0,
49,513243,58,2,2,0,0,
50,513243,59,2,1,1,0,
51,513243,60,2,1,1,0,
52,513243,61,2,1,1,0,
53,513243,62,2,1,1,0,
54,513243,63,2,1,1,0,
55,513243,64,2,1,1,0,
56,513243,65,2,1,1,0,
57,513243,66,2,1,1,0,
58,513243,67,2,1,1,0,
59,513243,68,2,1,1,0,
60,513243,69,2,1,1,0,
61,513243,70,2,1,1,0,
62,513243,71,2,1,1,0,
63,513243,72,2,1,1,0,
64,513243,73,2,1,1,0,
65,513243,74,2,1,1,0,
66,513243,75,2,1,1,0,
67,513243,76,2,1,1,0,
68,513243,77,2,1,1,0,
69,513243,78,2,1,1,0,
70,513243,79,2,1,1,0,
71,513243,80,2,1,1,0,
72,513243,81,1,0,0,700,
73,513243,82,2,1,1,0,
74,513243,84,2,1,1,0,
75,513243,85,2,1,1,0,
76,513243,86,2,1,1,0,
77,513243,87,2,1,1,0,
78,513243,88,3,1,2,0,
79,513243,89,2,1,1,0,
80,513243,90,2,1,1,0,
81,513243,91,2,1,1,0,
82,513243,92,2,1,1,0,
83,513243,93,3,1,2,0,
84,513243,94,3,2,1,0,
85,513243,95,2,1,1,0,
86,513243,96,2,1,1,0,
87,513243,97,3,3,0,0,
88,513243,98,3,3,0,0,
